Relatório Saldo Estoque (Inventário) -  Razão Social: A. E. DE SOUZA - CNPJ: 09.273.149/0001-19 - Estoque Existente no dia 07/04/2026 - Livro: 1;;;;;;;;;
Código;Descrição;Unidade;Estoque;Compra Unt.;Saldo Compra;Venda Unt.;Venda Atacado;Saldo Venda;Saldo Atacado
1531;KENNER 000160;UN; 2,000; 77,00; 154,00; 160,00; 110,00; 320,00; 220,00
1534;KENNER RAKKA ALTA FREGUENCIA ;UN; 11,000; 110,00; 1.210,00; 210,00; 169,00; 2.310,00; 1.859,00
1688;KIT MEIA 00028;UN; 41,000; 20,00; 820,00; 28,00; 25,00; 1.148,00; 1.025,00
1685;KIT PINCEIS ;UN; 3,000; 15,00; 45,00; 20,00; 20,00; 60,00; 60,00
1689;LAPIS DE ESCREVER OU APONTADOR;UN; 4,000; 1,00; 4,00; 2,00; 2,00; 8,00; 8,00
1558;LAPIS DE OLHO ;UN; 7,000; 3,00; 21,00; 5,00; 5,00; 35,00; 35,00
1692;LIGUINHA DE CABELO ;UN; 2,000; 5,00; 10,00; 10,00; 10,00; 20,00; 20,00
1577;MEIA 008;UN; 7,000; 5,00; 35,00; 8,00; 8,00; 56,00; 56,00
1576;MEIA 20;UN; 481,000; 12,00; 5.772,00; 20,00; 20,00; 9.620,00; 9.620,00
1691;MEIA ANTIDERRAPANTE SELENE;UN; 10,000; 20,00; 200,00; 45,00; 35,00; 450,00; 350,00
1575;MEIA DA PENALTY ;UN;- 1,000; 12,00;- 12,00; 20,00; 20,00;- 20,00;- 20,00
1574;MEIA SOCIAL ;UN; 36,000; 7,00; 252,00; 11,00; 11,00; 396,00; 396,00
1515;MOCHILAS 0085;UN;- 4,000; 42,00;- 168,00; 85,00; 60,00;- 340,00;- 240,00
1516;MOCHILAS 0095;UN; 12,000; 55,00; 660,00; 95,00; 75,00; 1.140,00; 900,00
1557;NECESSE 00025;UN; 8,000; 20,00; 160,00; 25,00; 25,00; 200,00; 200,00
1578;PANTUFINHA SELENE 0040;UN; 24,000; 32,00; 768,00; 40,00; 40,00; 960,00; 960,00
1579;PAPEL DE PRESENTE ;UN; 971,000; 3,50; 3.398,50; 5,00; 5,00; 4.855,00; 4.855,00
